Num,Name,Lat,Lon,DegreesStart,DegreesEnd
1,Wied Iz-Zurrieq,35.820148,14.451877,180,230
2,Ghar Lapsi,35.826847,14.423327,100,180
3,Fomm ir-Riħ,35.901127,14.329141,283,0
4,Ġnejna Bay,35.920603,14.342836,50,0
5,Għajn Tuffieħa,35.928853,14.344235,45,0
6,Golden Bay,35.933687,14.344217,123,0
7,Anchor Bay,35.960362,14.341385,115,0
8,Paradise Bay,35.982078,14.332381,315,340
9,Wied il-Għasri,36.078782,14.228423,0,0
10,Xwejni Bay,36.078543,14.248393,0,0
11,Qbajjar,36.076523,14.252292,0,0
12,Marsalforn,36.071762,14.259127,0,0
13,Ramla l-Ħamra,36.061971,14.283869,0,0
14,San Blas Bay,36.057244,14.300617,0,0
15,Daħlet Qorrot,36.049056,14.316674,0,0
16,Ħondoq ir-Rummien,36.027662,14.323116,0,0
17,Mġarr ix-Xini,36.020260,14.271399,0,0
18,Xlendi,36.030178,14.216933,0,0
19,Dwejra,36.053098,14.188655,0,0
20,Dwejra Inland Sea,36.053853,14.191425,0,0
21,Marfa,35.986106,14.338039,340,30
22,Ramla l-Bir,35.986415,14.346033,0,0
23,Little Armier,35.989692,14.359098,0,0
24,Armier Bay,35.992643,14.360424,0,0
25,Mellieħa,35.969584,14.351420,0,0
26,Imġiebaħ,35.967956,14.381832,0,0
27,Mistra Bay,35.958782,14.390806,0,0
28,St. Paul's Bay,35.946362,14.384307,0,0
29,Qawra,35.959285,14.426600,0,0
30,Baħar iċ-Ċagħaq,35.940334,14.456688,0,0
31,St. George's Bay,35.925791,14.488119,0,0
32,Sliema,35.912724,14.507436,0,0
33,Rinella Bay,35.893492,14.527711,0,0
34,Marsaskala,35.865544,14.568959,0,0
35,St. Thomas Bay,35.853962,14.565485,0,0
36,Ħofriet,35.839839,14.567647,0,0
37,Marsaxlokk,35.839073,14.545746,0,0
38,Pretty Bay,35.824790,14.529582,0,0